game_id,season,date,time_utc,start_time_iso,home_team,away_team,opponent,designation,venue,location,status,home_score,away_score,tickets_url
game-vs-christopher-newport-on-09172021-0f476n5c1yj,2021-2022,2021-09-18,01:15:00,2021-09-18T01:15:00Z,East Carolina University,Christopher Newport,Christopher Newport,Home,Carolina Ice Zone,Carolina Ice Zone,L,3,4,https://www.ecuhockey.com/tickets
game-vs-william-mary-on-10012021-qde1gui02e,2021-2022,2021-10-02,01:15:00,2021-10-02T01:15:00Z,East Carolina University,William & Mary,William & Mary,Home,Carolina Ice Zone,Carolina Ice Zone,W,12,0,https://www.ecuhockey.com/tickets
game-vs-appalachian-state-on-10082021-jswtboim9e,2021-2022,2021-10-09,01:15:00,2021-10-09T01:15:00Z,East Carolina University,Appalachian State University,Appalachian State University,Home,Carolina Ice Zone,Carolina Ice Zone,W,5,4,https://www.ecuhockey.com/tickets
game-vs-old-dominion-on-10152021-7bliufq6xva,2021-2022,2021-10-16,01:15:00,2021-10-16T01:15:00Z,East Carolina University,Old Dominion,Old Dominion,Home,Home,Home,W,15,1,https://www.ecuhockey.com/tickets
game-vs-high-point-on-10232021-0orqa632rvs,2021-2022,2021-10-23,20:00:00,2021-10-23T20:00:00Z,High Point University,East Carolina University,High Point University,Away,Away,Away,L,3,2,
game-vs-uncw-on-10292021-vgosdkqjcm7,2021-2022,2021-10-30,02:00:00,2021-10-30T02:00:00Z,UNC Wilmington,East Carolina University,UNC Wilmington,Away,Away,Away,W,2,3,
game-vs-citadel-on-11052021-kwqxen97,2021-2022,2021-11-06,01:15:00,2021-11-06T01:15:00Z,East Carolina University,Citadel,Citadel,Home,Carolina Ice Zone,Carolina Ice Zone,W,10,0,https://www.ecuhockey.com/tickets
game-vs-liberty-university-on-11132021-p340fu6rm9p,2021-2022,2021-11-14,03:15:00,2021-11-14T03:15:00Z,Liberty University,East Carolina University,Liberty University,Away,Away,Away,L,5,4,
game-vs-navy-on-11192021-kwqxhi80,2021-2022,2021-11-20,03:10:00,2021-11-20T03:10:00Z,Navy,East Carolina University,Navy,Away,McMullen Arena,McMullen Arena,L,7,2,
game-vs-stevenson-on-01152022-kyc5l7k6,2021-2022,2022-01-16,02:15:00,2022-01-16T02:15:00Z,East Carolina University,Stevenson,Stevenson,Home,Carolina Ice Zone,Carolina Ice Zone,T,0,0,https://www.ecuhockey.com/tickets
game-vs-christopher-newport-on-01212022-w5kzukh8rfj,2021-2022,2022-01-22,03:00:00,2022-01-22T03:00:00Z,Christopher Newport,East Carolina University,Christopher Newport,Away,Hampton Roads Iceplex,Hampton Roads Iceplex,T,0,0,
game-vs-costal-carolina-on-01282022-i0ml4lmq54s,2021-2022,2022-01-29,03:00:00,2022-01-29T03:00:00Z,Costal Carolina,East Carolina University,Costal Carolina,Away,Wilmington Ice House,Wilmington Ice House,W,3,4,
game-vs-north-carolina-state-on-02042022-kwqxqrmc,2021-2022,2022-02-05,00:45:00,2022-02-05T00:45:00Z,North Carolina State,East Carolina University,North Carolina State,Away,Wake Competition Center,"Invisalign Arena, 1001 Competition Dr, Morrisville, NC 27560",W,0,8,
game-vs-charleston-on-02112022-yo37tfhscac,2021-2022,2022-02-12,02:00:00,2022-02-12T02:00:00Z,Charleston,East Carolina University,Charleston,Away,Carolina Ice Palace,Carolina Ice Palace,L,6,2,
game-vs-birmingham-on-02192022-0lirkprp19c,2021-2022,2022-02-20,02:15:00,2022-02-20T02:15:00Z,East Carolina University,West Virginia,West Virginia,Home,Carolina Ice Zone,Carolina Ice Zone,T,0,0,https://www.ecuhockey.com/tickets
game-vs-west-virginia-on-02252022-kzw9co13,2021-2022,2022-02-25,21:30:00,2022-02-25T21:30:00Z,East Carolina University,West Virginia,West Virginia,Home,LaHaye Ice Center,LaHaye Ice Center,W,7,3,https://www.ecuhockey.com/tickets
game-vs-costal-carolina-on-02262022-l05y3otj,2021-2022,2022-02-27,01:00:00,2022-02-27T01:00:00Z,East Carolina University,Costal Carolina,Costal Carolina,Home,LaHaye Ice Center,LaHaye Ice Center,L,2,3,https://www.ecuhockey.com/tickets
game-vs-st-bonaventure-on-03182022-l0pq9hrp,2021-2022,2022-03-18,17:15:00,2022-03-18T17:15:00Z,St. Bonaventure,East Carolina University,St. Bonaventure,Away,"Ice Line - West Chester, PA","Ice Line - West Chester, PA",W,4,9,
game-vs-farmingdale-state-on-03192022-l0pqa3n9,2021-2022,2022-03-19,16:00:00,2022-03-19T16:00:00Z,Farmingdale State,East Carolina University,Farmingdale State,Away,"Ice Line - West Chester, PA","Ice Line - West Chester, PA",W,2,7,
game-vs-penn-state-harrisburg-on-03202022-l0pqaybi,2021-2022,2022-03-20,14:00:00,2022-03-20T14:00:00Z,East Carolina University,Penn State Harrisburg,Penn State Harrisburg,Home,"Ice Line - West Chester, PA","Ice Line - West Chester, PA",W,6,1,https://www.ecuhockey.com/tickets
game-vs-charlotte-on-09162022-l7z5mdw6,2022-2023,2022-09-17,00:31:00,2022-09-17T00:31:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,Extreme Ice Center,Extreme Ice Center,W,4,7,
game-vs-uncw-on-10012022-l7z5w2ax,2022-2023,2022-10-02,02:00:00,2022-10-02T02:00:00Z,UNC Wilmington,East Carolina University,UNC Wilmington,Away,Wilmington Ice House,Wilmington Ice House,W,2,3,
game-vs-north-carolina-on-10072022-l8yhqatx,2022-2023,2022-10-08,02:15:30,2022-10-08T02:15:30Z,North Carolina,East Carolina University,North Carolina,Away,Orange County spirts plex,Orange County spirts plex,W,0,6,
game-vs-uncw-on-10212022-l7z5ynv3,2022-2023,2022-10-22,02:00:00,2022-10-22T02:00:00Z,UNC Wilmington,East Carolina University,UNC Wilmington,Away,Wilmington Ice House,Wilmington Ice House,W,2,4,
game-vs-duke-on-10222022-l8yi19fn,2022-2023,2022-10-22,21:15:00,2022-10-22T21:15:00Z,East Carolina University,Duke University,Duke University,Home,Orange County Sports Plex,Orange County Sports Plex,W,5,1,https://www.ecuhockey.com/tickets
game-vs-stevenson-on-10282022-l7z5z7wj,2022-2023,2022-10-29,01:15:00,2022-10-29T01:15:00Z,East Carolina University,Stevenson,Stevenson,Home,Carolina Ice Zone,Carolina Ice Zone,W,6,5,https://www.ecuhockey.com/tickets
game-vs-georgetown-university-on-11042022-l8yikvij,2022-2023,2022-11-04,18:00:00,2022-11-04T18:00:00Z,Georgetown University,East Carolina University,Georgetown University,Away,The Saint James,The Saint James,L,4,2,
game-vs-west-virginia-universtiy-on-11052022-l8ying52,2022-2023,2022-11-05,15:45:00,2022-11-05T15:45:00Z,West Virginia Universtiy,East Carolina University,West Virginia Universtiy,Away,The Saint James,The Saint James,L,4,3,
game-vs-tampa-on-11062022-l8yio5kg,2022-2023,2022-11-06,14:15:00,2022-11-06T14:15:00Z,Denison University,East Carolina University,Denison University,Away,The Saint James,The Saint James,W,3,4,
game-vs-high-point-on-11122022-l8yiphst,2022-2023,2022-11-13,02:15:00,2022-11-13T02:15:00Z,East Carolina University,High Point University,High Point University,Home,Carolina Ice Zone,Carolina Ice Zone,W,7,4,https://www.ecuhockey.com/tickets
game-vs-north-carolina-on-11192022-l8yiqcb7,2022-2023,2022-11-19,22:15:00,2022-11-19T22:15:00Z,North Carolina,East Carolina University,North Carolina,Away,Orange County Sports Plex,Orange County Sports Plex,W,2,6,
game-vs-south-carolina-on-01132023-l8yirf01,2022-2023,2023-01-14,01:00:00,2023-01-14T01:00:00Z,South Carolina,East Carolina University,South Carolina,Away,Irmo Sports Plex,Irmo Sports Plex,W,3,4,
game-vs-elon-on-01212023-l8yisyk0,2022-2023,2023-01-22,02:30:00,2023-01-22T02:30:00Z,East Carolina University,Elon University,Elon University,Home,"Wake Competition Center - Morrisville, NC","Invisalign Arena, 1001 Competition Dr, Morrisville, NC 27560",L,2,3,https://www.ecuhockey.com/tickets
game-vs-appalachian-state-on-01272023-l8yj07j7,2022-2023,2023-01-28,02:15:00,2023-01-28T02:15:00Z,East Carolina University,Appalachian State University,Appalachian State University,Home,Carolina Ice Zone,Carolina Ice Zone,W,7,2,https://www.ecuhockey.com/tickets
game-vs-elon-on-02102023-l8yj1jzc,2022-2023,2023-02-11,02:15:00,2023-02-11T02:15:00Z,East Carolina University,Elon University,Elon University,Home,Carolina Ice Zone,Carolina Ice Zone,L,2,3,https://www.ecuhockey.com/tickets
game-vs-duke-on-02112023-ld28g5fk,2022-2023,2023-02-11,22:15:00,2023-02-11T22:15:00Z,Duke University,East Carolina University,Duke University,Away,Orange County Sportsplex,"Orange County Sportsplex, 101 Meadowlands Dr, Hillsborough, NC 27278",T,0,0,
game-vs-charlotte-on-02172023-lfsot8lm,2022-2023,2023-02-17,23:00:00,2023-02-17T23:00:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,Carolina Ice Zone,Carolina Ice Zone,W,1,2,
game-vs-north-carolina-state-on-09082023-lmo2ms07,2023-2024,2023-09-09,00:15:00,2023-09-09T00:15:00Z,North Carolina State,East Carolina University,North Carolina State,Away,Invisalign Arena,"Invisalign Arena, 1001 Competition Dr, Morrisville, NC 27560",W,3,17,
game-vs-appalachian-state-on-09152023-lmo2psfa,2023-2024,2023-09-16,02:30:00,2023-09-16T02:30:00Z,Appalachian State University,East Carolina University,Appalachian State University,Away,Ice House,"The Factory Ice House, 1839 S Main St, Wake Forest, NC 27587",L,6,4,
game-vs-charlotte-on-09232023-lmo2u9j9,2023-2024,2023-09-24,00:30:00,2023-09-24T00:30:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,Extreme Ice Center,Extreme Ice Center,W,2,6,
game-vs-north-carolina-on-09302023-lmo2vttj,2023-2024,2023-09-30,22:15:00,2023-09-30T22:15:00Z,North Carolina,East Carolina University,North Carolina,Away,Orange Country Sportsplex ,Orange Country Sportsplex,W,1,9,
game-vs-high-point-on-10022023-ln9g3d0p,2023-2024,2023-10-01,15:00:00,2023-10-01T15:00:00Z,High Point University,East Carolina University,High Point University,Away,Carolina Ice Zone,Carolina Ice Zone,W,3,10,
game-vs-costal-carolina-on-10132023-lmo2wowj,2023-2024,2023-10-14,00:45:00,2023-10-14T00:45:00Z,Coastal Carolina,East Carolina University,Coastal Carolina,Away,Ice Palace,Ice Palace,T,2,2,
game-vs-duke-on-10202023-lmo2y6jm,2023-2024,2023-10-21,02:15:00,2023-10-21T02:15:00Z,Duke University,East Carolina University,Duke University,Away,Orange Country Sportsplex ,Orange Country Sportsplex,L,7,4,
game-vs-ucf-on-10272023-lmo339na,2023-2024,2023-10-28,01:00:00,2023-10-28T01:00:00Z,East Carolina University,UCF,UCF,Home,Carolina Ice Zone,Carolina Ice Zone,T,0,0,https://www.ecuhockey.com/tickets
